symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-02,62,-1076.5935885311474,14,48
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-03,63,-661.4943147159838,21,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-04,63,-647.4587064339077,17,46
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-05,66,-758.0592259501597,17,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-06,59,-476.0953564652841,19,40
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-07,75,-1177.0244100616499,20,55
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-08,64,-1259.643461334853,15,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-09,65,-846.1720455389756,18,47
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-10,64,-60.47279835100371,25,39
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-11,59,53.993903155454454,25,34
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-12,61,-706.6214160158904,17,44
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2026-01,63,-639.232497399266,18,45
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2026-02,60,-185.76405224895552,21,39
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2026-03,69,-127.60967062841925,24,45
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2026-04,62,-259.5671662310364,21,41
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2026-05,12,-160.30889506170917,3,9
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-01,10,35.8540292443247,5,5
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-02,11,-109.73081543213873,3,8
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-03,10,-87.1871782154658,3,7
XAUUSDm,B_momo_london_adx18_rr1.5_atrexp0,momentum,2025-04,9,-177.6643047866378,1,8
